job title,company_name,link
 Kubernetes Engineer / DevOps Jinja , People Trust Sp. z o.o. ,https://nofluffjobs.com/pl/job/kubernetes-engineer-devops-jinja-people-trust-remote-hvmkwki0
 QA Engineer , Webinterpret ,https://nofluffjobs.com/pl/job/qa-engineer-webinterpret-remote-1ovaqecy
 Remote Data Scientist , Varwise ,https://nofluffjobs.com/pl/job/remote-data-scientist-varwise-u7zdvbjc
 Data Scientist , AVENGA ,https://nofluffjobs.com/pl/job/data-scientist-avenga-remote-czzjkpww
 DevOps/Service Lifecycle Manager (SLM) , Avenga ,https://nofluffjobs.com/pl/job/devops-service-lifecycle-manager-slm-avenga-remote-8hu1dd77
 Data Scientist , Focal Systems ,https://nofluffjobs.com/pl/job/data-scientist-focal-systems-remote-nqyo3okp
 Team Lead - QA Engineers' team , Sky and Space Co ,https://nofluffjobs.com/pl/job/team-lead-qa-engineers-team-sky-and-space-co-remote-x3czradh
 DevOps Engineer , AVENGA ,https://nofluffjobs.com/pl/job/devops-engineer-avenga-remote-8g0xumd0
 QA Engineer , Hitachi Energy ,https://nofluffjobs.com/pl/job/qa-engineer-hitachi-energy-krakow-olz0yidg
 Quality Assurance Expert , Hitachi ABB Power Grids ,https://nofluffjobs.com/pl/job/quality-assurance-expert-hitachi-abb-power-grids-krakow-fnbr1gvq
 Python Test Automation , Hitachi Energy ,https://nofluffjobs.com/pl/job/python-test-automation-hitachi-energy-krakow-nrix9om9
 Remote Agile Test Engineer in Coredev , ESET ,https://nofluffjobs.com/pl/job/remote-agile-test-engineer-in-coredev-eset-hclhhp90
 Remote Agile Test Engineer , ESET ,https://nofluffjobs.com/pl/job/remote-agile-test-engineer-eset-i19cfdz9
 Data Scientist (Remote) , deepsense.ai Sp. z o.o. ,https://nofluffjobs.com/pl/job/data-scientist-remote-deepsense-ai-jgzeobxc
 Deep Learning Engineer , Focal Systems ,https://nofluffjobs.com/pl/job/deep-learning-engineer-focal-systems-remote-tzxnzup6
